trucks_count 4
drones_count 4
customers 100
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
5519.360507347422    3589.408896009921    1        0.05                
-6686.288893503462   7932.119210092628    1        0.05                
3560.7808185678646   8036.389089662534    1        0.05                
11597.908257496292   2115.1785038253115   1        0.05                
1084.9357456347684   -1285.2255516569194  1        0.05                
-4814.067246510134   6158.166930322608    1        0.05                
9925.671391413223    5318.82810394576     1        0.05                
3768.5273478308795   -6006.2403927384075  1        0.05                
-2365.2625882257253  2573.7363763428452   1        0.05                
777.9503362885758    4117.939821563228    1        0.05                
10706.229279055022   -1969.7470885190967  1        0.05                
11167.21722475679    4160.176508161301    1        0.05                
-4597.029716484939   1399.8756299293432   1        0.05                
-11091.535162988816  -8023.802952992721   1        0.05                
5780.721226502651    7541.029410544891    1        0.05                
-9736.53196227703    9729.425560029591    1        0.05                
-2145.04720838046    10541.243171241058   1        0.05                
-370.8669593840856   -5136.795717943039   1        0.05                
8136.535634084952    -44.95734719365427   1        0.05                
-8059.051623736377   1403.420885290668    1        0.05                
-28.57995502873489   -7147.293619209484   1        0.05                
888.9741441510254    3360.7048348913536   1        0.05                
-5140.083834182066   -7610.653421058577   1        0.05                
-7623.9071103865845  -5277.429848290733   1        0.05                
1521.598948447076    11039.815566793566   1        0.05                
465.9575864364427    -3883.6839589962356  1        0.05                
9849.992900181196    -11141.34572894955   1        0.05                
-640.9933515670156   -5359.791013832119   1        0.05                
9114.912428006277    -1618.3718325131435  1        0.05                
4854.1334292156625   -5763.887377536564   1        0.05                
-4194.632681675241   -764.2825371290951   1        0.05                
11604.931032769726   -2089.7626289373984  1        0.05                
-9178.8453306024     4806.057013489665    1        0.05                
6157.048994756269    -9455.271873163294   1        0.05                
-4804.103366737797   8517.048725084363    1        0.05                
-12033.073637871108  -2922.192516255689   1        0.05                
-11450.002737339255  -11076.119759975398  1        0.05                
9057.502659187883    7184.044769694582    1        0.05                
8086.727280192419    5024.434347281858    1        0.05                
7600.509217185081    -1856.8796468265987  1        0.05                
-10121.836157762906  -11145.132294843212  1        0.05                
-10766.811061693947  3939.303874788437    1        0.05                
1686.6309852473992   7191.988456161057    1        0.05                
5507.712618767896    -8451.931436113024   1        0.05                
5916.136712021569    7993.274093909142    1        0.05                
-11590.92466661927   11464.200401225884   1        0.05                
11270.388916222044   4448.396391519885    1        0.05                
-11285.700180658594  9256.289935472745    1        0.05                
5182.935563178852    -10115.750752172773  1        0.05                
-3984.9270125606486  -5467.097615099016   1        0.05                
6583.876613152428    -6754.898163509462   1        0.05                
-3192.9008468197962  -9684.530592351457   1        0.05                
5240.220982590349    -9158.388057019496   1        0.05                
-8379.456941574763   -11528.749849661599  1        0.05                
-5536.197243675612   -400.01751386110277  1        0.05                
12022.295017047894   -1945.852415737767   1        0.05                
-3805.624909917215   7154.7405336976      1        0.05                
-8765.011370626396   -10245.014167475269  1        0.05                
7640.642958682249    3666.1691105888412   1        0.05                
-64.5626084364696    4359.780360621448    1        0.05                
-2182.193033712436   36.83064189324745    1        0.05                
-11155.509750795654  -913.3423668635683   1        0.05                
-8205.17224461658    -4343.047203203576   1        0.05                
-3737.1910680674264  1451.2044903126784   1        0.05                
-3181.566949011353   9684.068992698123    1        0.05                
-1625.2780254848267  11760.355825617049   1        0.05                
-10822.171144807224  6216.135944564477    1        0.05                
10443.208800788203   -5446.346124365373   1        0.05                
-6411.7162290367605  8414.270338809702    1        0.05                
-9110.287519146417   -8475.572908193762   1        0.05                
3225.59850987636     2603.372880069165    1        0.05                
-528.8019727321405   8246.88323638305     1        0.05                
1520.5836994489403   11897.135207447738   1        0.05                
4637.48883328228     8992.913053392153    1        0.05                
-9243.795012858254   725.9509861872416    1        0.05                
-3527.8416292395436  -2144.059296327756   1        0.05                
10965.361901974431   1884.269297168672    1        0.05                
5490.860290406188    1453.475048657075    1        0.05                
-6178.276320413614   -5294.635312224992   1        0.05                
-4292.48656968012    -8224.05256760754    1        0.05                
2313.9296986527497   10470.419380698451   1        0.05                
-7344.610196289808   11045.33986660674    1        0.05                
-11237.376402238444  5729.928155170334    1        0.05                
-7678.238899543973   -6001.0695447097205  1        0.05                
-3857.8092288687467  -8285.619789772209   1        0.05                
-386.8958885036433   -3946.472230477841   1        0.05                
-4383.0922993333315  -3277.6191373536476  1        0.05                
-4219.426331675081   -3125.844638625547   1        0.05                
7642.2251608835395   -368.2899850156198   1        0.05                
2371.990089269824    -127.3898939323613   1        0.05                
1292.1511283678744   2853.9340233814055   1        0.05                
4929.904940710151    -4528.482388322487   1        0.05                
-10167.504459876543  8706.518080414136    1        0.05                
-11507.668866413738  -10352.8579814891    1        0.05                
-1748.3060085219643  7172.805562794367    1        0.05                
5026.365012403374    -8522.064881795022   1        0.05                
-5122.367589921624   -7505.136922067525   1        0.05                
5839.127644054864    4301.426539076966    1        0.05                
5944.4281058902625   7939.101004413513    1        0.05                
-1191.0961370462699  -1303.2077340701453  1        0.05                
